,train_loss,train_recon_loss,train_kld_loss,valid_loss,valid_recon_loss,valid_kld_loss
0,155925.383588742,23945.90715144231,131979.4728623624,9957.095811631945,9673.880533854166,283.21509806315106
1,9202.532702323719,9028.472017728365,174.0607176560622,8256.8935546875,8150.153754340277,106.73974948459201
2,8490.0133588742,8394.776580028045,95.23672456007738,7850.582085503473,7786.132378472223,64.44978205362956
3,7600.503580729167,7509.01623848157,91.48734997480344,6165.331814236111,6091.487684461806,73.84417809380426
4,6428.99762119391,6350.789037459936,78.20861425155249,5865.428548177083,5797.318630642361,68.10989634195964
5,6155.860727163462,6092.675330528846,63.185389787722855,5595.179524739583,5534.921332465277,60.258124881320526
6,6024.3341721754805,5970.628993890225,53.70517261211689,5458.217827690973,5405.252387152777,52.9654418097602
7,5885.925205328525,5838.6012620192305,47.323920029860275,5442.404513888889,5401.34912109375,41.05535591973199
8,5763.619966947115,5719.0482021233975,44.571731665195564,5255.017361111111,5213.717068142361,41.30028873019748
9,5700.967360276442,5661.040790264423,39.9265815050174,5250.369737413194,5212.398600260417,37.97113969590929
10,5638.730068108975,5601.524138621795,37.205939904237404,5187.006998697917,5155.261990017361,31.745030297173393
11,5551.4173427483975,5516.237717848558,35.17962118295523,5102.426052517361,5069.673448350694,32.75262917412652
12,5425.836413261218,5391.463341346154,34.37304496765137,4931.27978515625,4898.964463975694,32.315359115600586
13,5302.578813601763,5269.0445713141025,33.53423959780962,4926.753634982639,4892.306803385417,34.446793450249565
14,5219.7986403245195,5186.816844451122,32.981777826944985,4737.065809461806,4700.990776909723,36.075020260281036
15,5107.820587940705,5073.981270032052,33.83934167715219,4613.912326388889,4583.479112413194,30.433223088582356
16,4992.432416866987,4958.674879807692,33.75753881992438,4483.183865017361,4450.588704427083,32.59510612487793
17,4909.736077724359,4875.307454427083,34.428601582845054,4455.966824001736,4426.346354166667,29.62038082546658
18,4867.7852939703525,4834.750250400641,33.035032174526116,4348.292154947917,4318.341742621527,29.950400246514214
19,4815.4197841546475,4781.8888596754805,33.53093773279435,4331.213161892361,4303.048014322917,28.165095223320854
20,4764.307060046073,4731.368721203927,32.93831932850373,4323.148057725694,4296.0537109375,27.094409518771702
21,4707.07555839343,4674.22314453125,32.85239547338241,4277.457709418402,4247.504096137152,29.953666898939346
22,4678.338416466346,4646.136806390225,32.2016299810165,4210.692274305556,4177.492540147569,33.19974687364366
23,4675.1549228766025,4642.605512570112,32.54941871838692,4258.207248263889,4228.655680338542,29.551571316189236
24,4625.896096254007,4593.63955453726,32.256559029603615,4226.404351128473,4200.162217881944,26.242211447821724
25,4624.647373297275,4593.699137369792,30.94824962126903,4125.126193576389,4092.393364800347,32.73278024461534
26,4605.722430889423,4574.253004807692,31.469405687772312,4207.792182074652,4185.488742404514,22.303484386867947
27,4549.920197315705,4519.142340244391,30.777866412431766,4082.4399142795137,4052.460991753472,29.978877809312607
28,4513.859262319712,4482.567877353766,31.291408783350235,4124.876166449652,4096.409830729167,28.466406716240776
29,4507.40084760617,4476.577267377805,30.823601649357723,4066.7091200086807,4039.193060980903,27.516123877631294
30,4472.152982271635,4441.616248497596,30.536713966956505,4071.281195746528,4039.340576171875,31.94065984090169
31,4467.477150941507,4437.326397235577,30.150769307063175,4005.0497775607637,3979.6529405381943,25.39683659871419
32,4451.920366336138,4422.590131710737,29.330245384803185,4072.3983561197915,4044.7704806857637,27.627906375461155
33,4429.683355869391,4400.10302734375,29.58032422188001,3972.3394911024307,3945.1276041666665,27.21186892191569
34,4440.687412359775,4410.403576973157,30.283829958010944,3967.6722819010415,3940.02001953125,27.652300940619575
35,4396.675512069311,4365.903889973958,30.77161744924692,4025.1993543836807,3994.86962890625,30.3297307756212
36,4402.303729717548,4372.18564077524,30.11808600792518,3931.0774739583335,3902.440673828125,28.63683531019423
37,4389.089205228365,4359.94082406851,29.148361548399315,3976.396918402778,3951.4880642361113,24.908775753445095
38,4366.733686398237,4337.282645983573,29.451055135482395,3994.7156575520835,3968.5835232204863,26.132123523288303
39,4362.694498697917,4332.839806189904,29.854700919909355,3949.22216796875,3919.4290907118057,29.793070051405167
40,4338.174297626202,4307.973457532052,30.200814907367413,3897.8731282552085,3871.8075358072915,26.06558503044976
41,4321.299673227163,4292.549322666266,28.7503537887182,3898.9290907118057,3869.4427897135415,29.48625416225857
42,4307.20654296875,4277.458026592548,29.74850243788499,3826.6984049479165,3799.7589246961807,26.93946859571669
43,4326.480418669872,4296.40615609976,30.07427641061636,3966.3717176649307,3936.4423828125,29.929366005791557
44,4336.623779296875,4307.7684482672275,28.85533381731082,3881.928656684028,3857.737982855903,24.190674040052627
45,4328.527587890625,4299.055013020833,29.472530169364735,3876.45263671875,3849.0055067274307,27.447099897596573
46,4305.926976913061,4277.549009665465,28.378002655811798,3836.908257378472,3811.161810980903,25.74647839864095
47,4276.536477113382,4246.673127003205,29.86335368034167,3914.2743326822915,3885.5117458767363,28.762598249647354
48,4291.327436398237,4262.698342347757,28.62903903080867,3876.4181857638887,3851.499457465278,24.918689303927952
49,4267.621262770433,4238.130064352965,29.49118848947378,3795.2701822916665,3766.366644965278,28.903545379638672
50,4264.198523888221,4234.809645432692,29.388880265064728,3835.8567708333335,3805.9884440104165,29.86832406785753
51,4259.550975310497,4230.1090244391025,29.44195312108749,3837.3924696180557,3811.0472005208335,26.34530470106337
52,4257.707507011218,4229.462533804087,28.244932223588993,3794.6907823350693,3769.2524142795137,25.43833245171441
53,4245.09237905649,4215.573311047677,29.519055733313927,3835.6619466145835,3809.5340983072915,26.127803166707356
54,4224.76760942508,4197.054869040465,27.712708008595,3869.8824598524307,3844.284478081597,25.59798155890571
55,4240.338372646234,4212.0005947015225,28.337782493004433,3807.365424262153,3781.2533094618057,26.112140867445206
56,4198.001740284455,4169.218881460337,28.782865671011116,3834.8390842013887,3806.46435546875,28.37475691901313
57,4186.38531650641,4157.659599108573,28.725732167561848,3804.2441677517363,3776.9013671875,27.342801835801865
58,4190.06921073718,4161.792092347757,28.277152428260216,3778.7720811631943,3750.210639105903,28.56147575378418
59,4217.964868790064,4190.470628004808,27.494264407035633,3813.865234375,3785.4585232204863,28.406691869099934
60,4203.202874599359,4174.426557491987,28.776336669921875,3708.051459418403,3682.6206325954863,25.430797788831924
61,4156.735927483975,4128.8587489983975,27.87719550499549,3744.520941840278,3717.752739800347,26.768213695949978
62,4161.920604216747,4133.230130709135,28.690472578391052,3765.419243706597,3735.8049587673613,29.614290237426758
63,4163.574487930689,4135.696627103365,27.877844150249775,3761.5626085069443,3733.9009602864585,27.661680857340496
64,4139.074525490785,4110.686354417067,28.38817205184545,3770.593695746528,3744.9336208767363,25.660106023152668
65,4158.799003405448,4130.733392177484,28.065599294809196,3769.6273057725693,3743.0149197048613,26.61237949795193
66,4111.933111728766,4083.2804424579326,28.652669173020584,3764.9637858072915,3738.9666883680557,25.99710252549913
67,4142.829514723558,4114.808837890625,28.020644016754932,3728.4420030381943,3703.313232421875,25.12879032558865
68,4154.603753505609,4126.004219250802,28.599535281841572,3725.4913736979165,3697.1987575954863,28.292586008707683
69,4132.259483924279,4103.931327624198,28.328133509709286,3728.0247395833335,3703.826850043403,24.197856903076172
70,4123.814947666266,4095.6805826822915,28.134369678986378,3730.2547200520835,3705.742865668403,24.51181369357639
71,4129.982440655048,4102.23092573117,27.751518787481846,3714.2000596788193,3686.7725694444443,27.42750295003255
72,4096.745348808093,4069.458702674279,27.28662270766038,3689.2694227430557,3661.6414659288193,27.627996020846897
73,4098.420979817708,4070.209723056891,28.211279502281776,3710.5893283420137,3685.2602267795137,25.32910664876302
74,4110.792893629808,4083.2255108173076,27.56737342247596,3680.2419704861113,3650.304497612847,29.937503178914387
75,4095.4659580328525,4068.146302834535,27.319628201998196,3700.6832139756943,3673.550048828125,27.133146074083115
76,4093.156406500401,4065.7997608673877,27.356665293375652,3698.9446072048613,3673.173773871528,25.770817438761394
77,4081.0623560196314,4053.8340281951123,27.228335747352013,3670.1546223958335,3647.1567111545137,22.997876909044052
78,4085.6495643028848,4058.8251514923877,26.824409338144157,3673.277153862847,3650.0528428819443,23.22429847717285
79,4079.6050806290064,4052.5369653946314,27.0681215432974,3680.2773708767363,3652.145263671875,28.132125854492188
80,4057.2613807091348,4030.207256610577,27.054131189982098,3650.6378038194443,3627.908203125,22.729580137464737
81,4080.9652381310098,4054.3770720653047,26.588168511023888,3697.7667643229165,3674.8653157552085,22.9014769660102
82,4040.1786420773237,4014.1273412459936,26.051341032370544,3701.8238389756943,3673.7081705729165,28.115701251559788
83,4042.477501502404,4015.7789838741987,26.698539440448467,3718.380126953125,3692.157904730903,26.22227160135905
84,4047.6212189503203,4020.967291416266,26.653912764329178,3634.7354329427085,3605.3498806423613,29.385541915893555
85,4023.6661470853364,3996.2383814102564,27.42779316046299,3660.3405490451387,3633.414008246528,26.92652659946018
86,4037.8748059395034,4010.4066068209136,27.46819202716534,3713.5802137586807,3689.964599609375,23.615624957614475
87,4068.1460712139424,4040.9029134114585,27.243126502403847,3644.117377387153,3620.0027940538193,24.11454963684082
88,4043.240453475561,4016.296593299279,26.943864920200447,3671.850043402778,3647.6328938802085,24.21713129679362
89,4030.6273162059297,4003.6014873798076,27.02581552358774,3661.4357638888887,3634.9734157986113,26.462324142456055
90,4029.815097906651,4002.6302959735576,27.18480061262082,3637.6817220052085,3611.719048394097,25.962664286295574
91,4033.8382098858174,4006.8668118990386,26.97140385554387,3641.526665581597,3615.6236165364585,25.90301407708062
92,4043.914738581731,4017.2042267628203,26.7105042384221,3619.7152506510415,3593.9407009548613,25.774563047620987
93,4012.6105205829326,3986.3014385516826,26.309075135451096,3638.623779296875,3614.429144965278,24.194625430636936
94,3997.071520683093,3970.610138721955,26.461355502788837,3619.3999294704863,3597.5515407986113,21.84838612874349
95,4025.2398525140225,3999.4246356670674,25.81522966042543,3671.279541015625,3648.420708550347,22.858871671888565
96,3990.713147285657,3964.531926081731,26.181253482133915,3670.0391981336807,3643.396294487847,26.642910215589737
97,3973.6840382111377,3946.7200646033652,26.96395135537172,3647.469536675347,3621.1006673177085,26.368876139322918
98,4020.7091346153848,3993.9918682391826,26.717272244966946,3625.3346354166665,3601.0857204861113,24.24894650777181
99,4003.1039287860576,3976.9691193409453,26.134793599446613,3639.019965277778,3614.753662109375,24.266284306844074
